ID,Nguồn,Năm,Loại nguồn,Vấn đề,Structured requirements,Ambiguity detection,Traceability,DOM/accessibility grounding,Oracle validation,Human approval,Constrained repair,Playwright support,Evaluation,Hạn chế,Mức độ liên quan,Người đọc,Trạng thái
SRC-001,Playwright Test Agents — official documentation,2025/2026,Official documentation,"Pipeline Planner–Generator–Healer cho Playwright testing","Một phần: Markdown plan","Không được mô tả","Một phần: spec/seed comments và ánh xạ spec–test","Có: khám phá và kiểm chứng UI live","Một phần: expected results thành assertions","Không bắt buộc","Một phần: retry đến guardrail nhưng guardrail chưa rõ","Có, native","Chỉ demonstration TodoMVC; không có metric","Không có benchmark; thiếu ambiguity handling và repair policy chi tiết",Cao,Nhóm đồ án,Đã đọc và nhận xét
SRC-002,Playwright Codegen and locator policy,2026,Official documentation,"Sinh test/locator bền vững từ thao tác browser",Không,"Không; chỉ xử lý locator không duy nhất",Không,"Có: role/text/test ID; chaining/filtering","Hạn chế: visibility/text/value do người dùng chọn","Có tính tương tác",Không,"Có, native","Không có dataset hoặc metric","Không hiểu requirement/oracle; locator phụ thuộc thuộc tính UI",Cao,Nhóm đồ án,Đã đọc và nhận xét
SRC-003,Requirements-Based Test Generation: A Comprehensive Survey — arXiv:2505.02015,2025,Survey,"Tổng quan toàn bộ quy trình và nghiên cứu RBTG","Có ở mức taxonomy","Nhận diện là thách thức; không có detector","Được khảo sát; không có implementation","Không phải trọng tâm chung","Được khảo sát; không có oracle engine","Chỉ thống kê human involvement",Không,"Không cụ thể","267 nghiên cứu từ 493 kết quả ban đầu; 5 thư viện + snowballing","Có thể bỏ sót bài; corpus đến 2024; nghiên cứu dị thể",Cao,Nhóm đồ án,Đã đọc và nhận xét
SRC-004,WebTestPilot — arXiv:2602.11724,2026,Research paper,"NL-to-E2E testing với oracle symbolized và bug detection","Có: condition–action–expectation","Chưa có clarification workflow","Có: step–predicate–state trace","Có: visual grounding + SoM + DOM/page reidentification","Có: symbolized DSL pre/postconditions","Không ở runtime","Một phần: retry hữu hạn n=1","Có trong benchmark/ground truth","100 requirements/bugs trên 4 app; 23 bug thật; robustness/model studies","Benchmark hẹp; giả định requirement đầy đủ; manual verification; chi phí",Rất cao,Nhóm đồ án,Đã đọc và nhận xét
SRC-005,"A Tool for Test Case Scenarios Generation Using LLMs — arXiv:2406.07021",2024,"Preprint (proof-of-concept)","Sinh test case scenarios từ user story bằng LLM agent + prompt engineering","Một phần: prioritized user story, không schema","Không","Không triển khai","Không","Rất yếu: expected output NL, không validation tự động","Một phần: human-in-the-loop review, không gate","Không","Không; xuất CSV/JSON","Proof-of-concept trên SLR-GPT; ~2s/requirement; không benchmark","Proof-of-concept, không benchmark, hallucination, chi phí API, không sinh code thực thi","Trung bình","Nhóm đồ án","Đã đọc và nhận xét"
SRC-006,"Beyond LLM-Based Test Automation: Zero-Cost Self-Healing via DOM Accessibility Tree — arXiv:2603.20358",2026,"Preprint (empirical case study)","Self-healing locator zero-cost bằng accessibility tree extraction thay cho LLM","Không","Không","Một phần: business-level L0/L1/L2, không requirement-level","Có, mạnh: accessibility tree, get_by_role/ARIA/data-testid (không LLM)","Yếu: assertion thủ công đơn giản","Không có gate runtime","Có, mạnh: targeted re-extraction chỉ selector hỏng, deterministic","Có, mạnh: pytest-playwright, get_by_role, pytest-xdist","automationexercise.com, 3 device, 31 combination, 100% pass, discovery 82.4%, heal <1s","Auth-gated elements, CSS tier fragile, không shadow DOM, một site demo, không requirement-driven","Cao","Nhóm đồ án","Đã đọc và nhận xét"
SRC-007,"Generating High-Level Test Cases from Requirements using LLM: An Industry Study — arXiv:2510.03641",2025,"Research paper (industry study)","Sinh high-level test case từ requirement chỉ bằng prompt (không RAG), dùng ISO 29119-4","Một phần: requirement doc + test strategy; khung ISO 29119-4","Không","Yếu: không ID mapping, so similarity với truth","Không","Yếu: expected behavior NL; expected result là future work","Một phần: expert evaluation ngoài pipeline","Không","Không","Bluetooth + Mozilla; GPT-4o; macro-recall 0.81/0.37; semantic similarity ≥0.7","Precision thấp, recall Mozilla thấp, 2 dataset, NL không thực thi, chưa xác định expected result","Cao","Nhóm đồ án","Đã đọc và nhận xét"
SRC-008,"Practical Limits of Autonomous Test Repair: A Multi-Agent Case Study — arXiv:2605.01471",2026,"Preprint (industrial case study)","Phân tích failure modes của autonomous multi-agent LLM test repair và ràng buộc cần thiết","Một phần: Planner tạo structured scenario; feature do LLM chọn","Không; LLM hallucinate","Yếu: feature registry/dedup, không requirement-level","Một phần/khuyến nghị bắt buộc: có DOM tool nhưng Coder bỏ qua → hallucination (G1)","Không (mấu chốt): thiếu oracle là root cause; assertion weakening/test deletion","Không runtime nhưng KẾT LUẬN bắt buộc (G2/G3 escalation + validation)","Đóng góp trung tâm: bounded iteration, skip-list, phát hiện semantic-drift/test-count → escalate","Có: sinh Playwright TypeScript","300 report/636 execution/10 family/126 ngày; convergence 70% (strict 50%)","1 môi trường/1 LLM, first-author labeling, metric không đo semantic quality","Rất cao","Nhóm đồ án","Đã đọc và nhận xét"
SRC-009,"ReqToCode: Embedding Requirements Traceability as a Structural Property of the Codebase — arXiv:2603.13999",2026,"Preprint (approach/position, chưa peer-review)","Ngăn suy giảm traceability bằng embed requirement thành code element verify lúc compile","Có: requirement → Traceable typed element có metadata","Không","Có, đóng góp chính: hard compile-time bidirectional requirement↔code↔test, branch-scoped, coverage-at-revision","Không (về codebase/build)","Không: chỉ structural link, không verify semantic","Một phần: Traceable qua PR review + deprecation warning","Không; graduated lifecycle deprecation→build failure đáng học","Không","Không empirical; illustrative example + self-application (Ariadne)","Chỉ structural không semantic, adoption dependency, không empirical evaluation","Cao","Nhóm đồ án","Đã đọc và nhận xét"
SRC-010,"Steward: Natural Language Web Automation — arXiv:2409.15441",2024,"Research paper","Web automation dùng LLM từ NL instruction qua Playwright","Không: NL goal 1 câu","Không; double-check giảm hallucination","Không","Có, mạnh: HTML filtering (CSS selector) + attribute cleaning + screenshot + indexed top-15","Yếu: end-state detection bằng LLM; không assertion","Không (fully autonomous)","Một phần: double-check + expand selectors khi fail","Có, mạnh: verb→Playwright Locator mapping, Context/Page/Locator","Mind2Web (122 tasks) + 30 live; GPT-3.5/4/4V; 40% completion, 8.52s/$0.028 per action","Completion 40% thấp, lỗi HTML filtering, 1 ground-truth, security/privacy, bot detection","Cao","Nhóm đồ án","Đã đọc và nhận xét"
